;ALPHA_KS_MATRIX3-2;
Wavelength [nm];Intensity;
810,3724;0,0021096;
810,6135;0,0020972;
810,8546;0,0021144;
811,0957;0,0021609;
811,3368;0,0022255;
811,5780;0,0022802;
811,8191;0,002297;
812,0602;0,0022764;
812,3013;0,0022514;
812,5424;0,0022469;
812,7835;0,0022573;
813,0246;0,0022719;
813,2657;0,0022866;
813,5068;0,0022987;
813,7480;0,0023076;
813,9891;0,0023167;
814,2302;0,0023129;
814,4713;0,0022869;
814,7124;0,0022786;
814,9535;0,0023126;
815,1946;0,0023584;
815,4357;0,0023827;
815,6768;0,0023772;
815,9180;0,0023614;
816,1591;0,0023606;
816,4002;0,0023774;
816,6413;0,0023966;
816,8824;0,0024158;
817,1235;0,0024518;
817,3646;0,0024919;
817,6057;0,0025012;
817,8468;0,0024764;
818,0880;0,0024521;
818,3291;0,0024528;
818,5702;0,0024614;
818,8113;0,0024721;
819,0524;0,0024934;
819,2935;0,0025032;
819,5346;0,0024961;
819,7757;0,0024974;
820,0168;0,0025071;
820,2580;0,0025054;
820,4991;0,0025049;
820,7402;0,0025244;
820,9813;0,0025445;
821,2224;0,0025406;
821,4635;0,0025143;
821,7046;0,0024939;
821,9457;0,002501;
822,1868;0,0025281;
822,4280;0,0025615;
822,6691;0,0025847;
822,9102;0,0025978;
823,1513;0,0026185;
823,3924;0,0026425;
823,6335;0,0026537;
823,8746;0,0026416;
824,1157;0,0026166;
824,3568;0,002616;
824,5980;0,0026505;
824,8391;0,0026862;
825,0802;0,0027033;
825,3213;0,0027013;
825,5624;0,0026779;
825,8035;0,0026494;
826,0446;0,0026406;
826,2857;0,0026587;
826,5268;0,0026951;
826,7680;0,0027375;
827,0091;0,0027748;
827,2502;0,002792;
827,4913;0,0027832;
827,7324;0,0027743;
827,9735;0,0027949;
828,2146;0,00282;
828,4557;0,0028244;
828,6968;0,00284;
828,9380;0,0028783;
829,1791;0,0029032;
829,4202;0,002894;
829,6613;0,0028677;
829,9024;0,0028525;
830,1435;0,0028702;
830,3846;0,0029138;
830,6257;0,0029485;
830,8668;0,0029709;
831,1080;0,0029954;
831,3491;0,0030054;
831,5902;0,0029962;
831,8313;0,00299;
832,0724;0,0029996;
832,3135;0,0030293;
832,5546;0,0030668;
832,7957;0,0030892;
833,0368;0,0031044;
833,2780;0,0031278;
833,5191;0,0031348;
833,7602;0,0031161;
834,0013;0,0031123;
834,2424;0,003143;
834,4835;0,0031821;
834,7246;0,0032065;
834,9657;0,00321;
835,2068;0,003188;
