;alpha_KS_Matrix7-3sub;
Wavenumbers [1/cm];Absorbance;
4315,1622;-0,003806422;
4314,9211;-0,003909072;
4314,6800;-0,004027762;
4314,4389;-0,004003862;
4314,1978;-0,003928858;
4313,9567;-0,003924404;
4313,7155;-0,003929464;
4313,4744;-0,003897862;
4313,2333;-0,003908372;
4312,9922;-0,003991255;
4312,7511;-0,004027768;
4312,5100;-0,003945542;
4312,2689;-0,003854901;
4312,0278;-0,003857725;
4311,7867;-0,003918552;
4311,5455;-0,003968231;
4311,3044;-0,003982693;
4311,0633;-0,003960224;
4310,8222;-0,003919605;
4310,5811;-0,003909472;
4310,3400;-0,003966408;
4310,0989;-0,004066342;
4309,8578;-0,004130943;
4309,6167;-0,004103732;
4309,3755;-0,003987822;
4309,1344;-0,003855425;
4308,8933;-0,003789778;
4308,6522;-0,003814131;
4308,4111;-0,003919618;
4308,1700;-0,00402561;
4307,9289;-0,004050657;
4307,6878;-0,004022469;
4307,4467;-0,003971606;
4307,2056;-0,00394438;
4306,9644;-0,003988346;
4306,7233;-0,004030675;
4306,4822;-0,004018804;
4306,2411;-0,004007677;
4306,0000;-0,004005807;
4305,7589;-0,00397752;
4305,5178;-0,003967271;
4305,2767;-0,004007321;
4305,0356;-0,004032768;
4304,7944;-0,004010753;
4304,5533;-0,003976088;
4304,3122;-0,003954395;
4304,0711;-0,003945813;
4303,8300;-0,003962935;
4303,5889;-0,004026679;
4303,3478;-0,004102295;
4303,1067;-0,004118988;
4302,8656;-0,004052516;
4302,6244;-0,003958631;
4302,3833;-0,003915206;
4302,1422;-0,003913311;
4301,9011;-0,003919243;
4301,6600;-0,003965503;
4301,4189;-0,0040434;
4301,1778;-0,004090518;
4300,9367;-0,00408094;
4300,6956;-0,004027744;
4300,4544;-0,00399991;
4300,2133;-0,004043658;
4299,9722;-0,004096163;
4299,7311;-0,004123677;
4299,4900;-0,004154551;
4299,2489;-0,004174123;
4299,0078;-0,004160035;
4298,7667;-0,004112913;
4298,5256;-0,004047231;
4298,2844;-0,00400955;
4298,0433;-0,004016167;
4297,8022;-0,004010087;
4297,5611;-0,003968534;
4297,3200;-0,00398518;
4297,0789;-0,004091861;
4296,8378;-0,004159915;
4296,5967;-0,004142958;
4296,3556;-0,004137805;
4296,1144;-0,004157314;
4295,8733;-0,004160744;
4295,6322;-0,004156625;
4295,3911;-0,004113301;
4295,1500;-0,004031199;
4294,9089;-0,004023812;
4294,6678;-0,004090652;
4294,4267;-0,004102079;
4294,1856;-0,004083975;
4293,9445;-0,00411485;
4293,7033;-0,00412893;
4293,4622;-0,004110925;
4293,2211;-0,004128207;
4292,9800;-0,004142226;
4292,7389;-0,004125959;
4292,4978;-0,004164762;
4292,2567;-0,004265347;
4292,0156;-0,004321143;
4291,7745;-0,004293055;
4291,5333;-0,004224683;
4291,2922;-0,004172091;
